COURSE,SEMESTER,DAYS,START,END,PREREQS,Q,WORKLOAD,ENROLLMENT
CS001,S,TR,1000AM,1129AM,[],3.8,7.4,76
CS020,S,MWF,1000AM,1059AM,[],4.4,5,58
CS050,F,F,1000AM,1159AM,[],3.5,15.2,750
CS051,S,T,100PM,229PM,[CS050],3.4,13.9,348
CS061,F,TR,230PM,359PM,[CS050],4.2,15.8,129
CS091R,S,,,,[],,,
CS091R,F,,,,[],,,
CS096,F,MWF,400PM,559PM,"[set(CS051,CS061)]",4.5,3,2
CS105,F,TR,100PM,229PM,[],4.7,5.2,37
CS108,F,TR,1130AM,1259PM,[],GET,,
CS109A,F,MW,100PM,229PM,[CS050],3.1,9.1,131
CS109B,S,MW,100PM,229PM,[CS109A] CHECK,,,
CS121,F,TR,1000AM,1129AM,"[set(CS020, MATH23A, MATH25B, MATH25A, MATH25B, MATH55A, MATH55B]",3.2,9.5,169
CS124,S,TR,1130AM,1259PM,[CS121],3.9,15.2,217
CS126,F,TR,1000AM,1129AM,"[STAT110, CS124]",12345,12345,30
CS127,S,TR,1000AM,1129AM,"[set(CS121, CS124)]",4.5,12.2,19
CS134,F,MW,230PM,359PM,"[STAT110, LINALG, MULTIVAR]",3.5,9.3,167
CS136,F,MW,1130AM,1259PM,"[LINALG, CS051, STAT110, CS181 OR CS182]",4.6,9.8,57
CS141,F,MW,1000AM,1129AM,[CS050],4,10.5,19
CS143,F,MW,230PM,359PM,[CS050],2.8,5.5,43
CS144R,S,MW,230PM,359PM,[],,,
CS148,S,TR,1130AM,1259PM, ,5,5.7,4
CS152,S,TR,1000AM,1129AM,"[CS051, CS121]",3.4,6.6,19
CS165,F,MW,400PM,529PM,"[CS051, CS061]",4.5,10.5,32
CS171,F,TR,230PM,359PM,[CS050],3.7,9.8,97
CS175,F,MW,100PM,229PM,"[set(CS051, CS061), LINALG]",4,9.5,13
CS179,S,TR,230PM,359PM,[CS050],3.6,6.8,59
CS181,S,MW,900AM,1029AM,"[CS051, STAT110, MULTIVAR, LINALG]",3.6,16.8,215
CS182,F,TR,100PM,229PM,"[CS051, STAT110]",3.9,7.2,84
CS189,S,F,100PM,359PM,"[set(CS181, CS182)]",3.6,13.9,20
CS191,S,MW,900AM,1029AM,[],12345,12345,12345
AM21A,F,MWF,1100AM,1159AM,[],3.8,7.7,169
AM21B,S,MWF,1100AM,1159AM,[MULTIVAR],3.3,9.2,79
AM106,F,MW,230PM,359PM,"[MULTIVAR, LINALG]",3.7,6.6,31
AM120,S,TR,1000AM,1129AM,"[MULTIVAR, LINALG, CS50]",4.3,6.9,108
AM121,F,MW,1000AM,1129AM,"[LINALG, STAT110]",3.8,10.3,73
AM107,S,TR,1000AM,1129AM,CHECK,4.3,8.1,23
MATH21A,FS,,,,[],3.6,10,237
MATH21B,FS,,,,[],3.5,8.4,320
MATH23A,F,R,300PM,359PM,[],3.4,10.5,59
MATH23A,F,F,100PM,159PM,[],3.4,10.5,59
MATH23B,S,TR,230PM,359PM,[],3.9,8.8,59
MATH25A,F,MWF,1000AM,1059AM,[],4.6,17.1,45
MATH25B,S,MWF,1000AM,1059AM,[],3.9,16.3,38
MATH55A,F,MWF,1100AM,1159AM,[],3.7,30.2,11
MATH55B,S,MWF,1100AM,1159AM,[],4,45.2,12
MATH154,S,MWF,1200PM,1259PM,"[MULTIVAR, LINALG]",4.5,10.1,30
STAT110,F,TR,230PM,359PM,[MULTIVAR],4.3,10.6,444
STAT121A,F,MW,100PM,229PM,[],3.1,9.1,131
STAT121B,S,MW,100PM,229PM,[],,,
ES50,F,MW,230PM,359PM,[],3.5,6.6,85
ES52,S,MW,1130AM,1259PM,[],3.9,9.8,53
ES52,F,MW,100PM,229PM,[],3.9,9.8,53
