SA,Naive FC-2,Naive HC-1,Iter,Naive HC-2
3448519.910260161,3433316.0147339106,3443081.142372444,0,3437947.1022406667
3444458.5273784827,3433231.593627696,25580.345749611442,1,20592.287492421598
3448519.910260161,3433209.7131367773,16085.18544255042,2,15584.776558521104
3444458.5273784827,3429005.5350624397,15555.776050608496,3,15054.659886178248
3448515.554907794,3425333.1162666166,15052.027614389974,4,14548.947327628463
3444414.7842275724,3425231.2074395805,14548.733408616008,5,14045.63965761518
3448571.9962274814,3420572.3471117914,14046.038849133545,6,13542.48136552686
3444638.7692933767,3415715.348285719,13543.402263270651,7,13039.806013106396
3448571.9962274814,3415645.1373305647,13040.85390021409,8,12537.519911003645
3444414.7842275724,3415456.350172718,12538.588936799431,9,12035.362416749349
3448127.5427055545,3415455.591514892,12036.608420682658,10,11533.52151750019
3444120.236848595,3410029.810756604,11534.74637592459,11,11031.7993322182
3448127.5427055545,3404049.902634093,11033.038533555304,12,10530.164438814681
3444058.0187071366,17048.257780849308,10531.178342503912,13,10028.533043151725
3439736.12002125,12550.254750799482,10029.548565021378,14,9526.921797137333
3445231.161621468,12048.42427166894,9528.052045714607,15,9025.357011244962
3440372.23985899,11547.06550737922,9026.168786611335,16,8523.839730707461
3435190.780512608,11547.002800919356,8524.833994236375,17,8022.45658565609
3429751.0246007387,11045.157398957237,8023.450828516316,18,7521.184483652381
3423942.7957910644,10542.556411017458,7522.167865797831,19,7019.981828242032
3418016.999567767,10040.700630289679,7020.940677338224,20,6518.73996517074
3411011.3333238787,10040.335793480717,6519.676508494544,21,6017.449092523266
3403508.7125432277,10039.25651020598,6018.4643160632895,22,5516.276167898754
3395227.793322981,10038.972944065896,5517.3074111273745,23,5015.157865639401
3403462.1514646746,9536.806098041667,5016.332101901759,24,5014.760818419272
3395318.7001461843,9034.984251741298,5016.332101901759,25,5014.6888694915115
3386385.7431066516,9034.714853624908,0,26,5013.345995473423
3395282.417421733,9034.096400485807,0,27,5013.345995473423
3403372.7149706963,9033.183987798266,0,28,0
3395197.016022001,9032.67844949285,0,29,0
3403335.8885390125,8531.206423633907,0,30,0
3410845.881009441,8030.171175331645,0,31,0
3403417.4484496214,7527.003894750077,0,32,0
3395243.8612694577,7525.420944167127,0,33,0
3386343.565454443,7522.452958787419,0,34,0
3395393.9530796856,7021.436633850605,0,35,0
3403523.419429171,6521.112668638389,0,36,0
3395393.652197332,6520.731644824335,0,37,0
3391389.3368434105,6520.539695484295,0,38,0
3400287.2796803913,6019.375601478858,0,39,0
3403483.823818583,6018.5993471038,0,40,0
35561.01899490163,6018.404078588147,0,41,0
36062.628323889214,5517.145999004244,0,42,0
35561.384318052624,5016.422576778659,0,43,0
35059.1478177434,5016.24098071641,0,44,0
34557.392682434715,5016.04120104489,0,45,0
34055.50559810059,5015.611532094373,0,46,0
34557.265140003656,5015.611532094373,0,47,0
35059.08166208799,0,0,48,0
35560.291976548244,0,0,49,0
26064.20803873522,0,0,50,0
26566.396528073532,0,0,51,0
27068.203248208763,0,0,52,0
26566.68627330074,0,0,53,0
26065.11755572964,0,0,54,0
25562.818038066558,0,0,55,0
25061.884505421654,0,0,56,0
25565.831569886017,0,0,57,0
26067.520372600437,0,0,58,0
26568.455135861648,0,0,59,0
26067.38033636223,0,0,60,0
25565.860844642917,0,0,61,0
26067.685277256984,0,0,62,0
26569.59312326773,0,0,63,0
27070.065447213034,0,0,64,0
27572.476591133203,0,0,65,0
27071.980846522627,0,0,66,0
26569.528318644792,0,0,67,0
27070.531295684905,0,0,68,0
26568.26818683992,0,0,69,0
27069.855739348022,0,0,70,0
27572.083042609403,0,0,71,0
28073.554083050647,0,0,72,0
28574.69967372265,0,0,73,0
28574.69967372265,0,0,74,0
24076.694363021554,0,0,75,0
24579.754881826288,0,0,76,0
24078.582428491834,0,0,77,0
24580.132516136895,0,0,78,0
24078.851026461358,0,0,79,0
23576.246172384606,0,0,80,0
24078.851026461358,0,0,81,0
23577.38322572233,0,0,82,0
23078.118576528745,0,0,83,0
13580.566503594884,0,0,84,0
14080.31898986568,0,0,85,0
14080.31898986568,0,0,86,0
14582.764509924695,0,0,87,0
15084.320283001865,0,0,88,0
14582.764509924695,0,0,89,0
15084.320283001865,0,0,90,0
15587.849221930182,0,0,91,0
15085.84986539679,0,0,92,0
14582.778032311542,0,0,93,0
14080.883987859097,0,0,94,0
14080.883987859097,0,0,95,0
14582.93873392624,0,0,96,0
14081.594795521296,0,0,97,0
13579.530380057236,0,0,98,0
13579.530380057236,0,0,99,0
14080.042885576997,0,0,100,0
14582.370484616378,0,0,101,0
15085.379881370529,0,0,102,0
15586.968229381608,0,0,103,0
16089.03052204515,0,0,104,0
15587.099225151016,0,0,105,0
15085.281709714787,0,0,106,0
14582.292680347631,0,0,107,0
15083.285069512844,0,0,108,0
15585.126541579564,0,0,109,0
15585.126541579564,0,0,110,0
15083.069335190838,0,0,111,0
14582.065361835676,0,0,112,0
14080.438087542494,0,0,113,0
14582.44952258278,0,0,114,0
15083.747353975403,0,0,115,0
14583.275301957905,0,0,116,0
14583.275301957905,0,0,117,0
15083.747353975403,0,0,118,0
14582.15809475029,0,0,119,0
15083.478756005876,0,0,120,0
15083.478756005876,0,0,121,0
15584.64938542223,0,0,122,0
15082.415173943386,0,0,123,0
15584.64938542223,0,0,124,0
16086.91642299106,0,0,125,0
15585.760651070907,0,0,126,0
16086.690561157766,0,0,127,0
15585.52555704324,0,0,128,0
16088.044694529008,0,0,129,0
15587.036043833816,0,0,130,0
15085.680450975102,0,0,131,0
14554.900074257122,0,0,132,0
14554.900074257122,0,0,133,0
14554.900074257122,0,0,134,0
14554.900074257122,0,0,135,0
14053.736889711747,0,0,136,0
14554.900074257122,0,0,137,0
14053.942941197885,0,0,138,0
13551.066179607473,0,0,139,0
14052.478174946493,0,0,140,0
14555.152787058654,0,0,141,0
14054.116019611765,0,0,142,0
14583.75257586307,0,0,143,0
14583.75257586307,0,0,144,0
15086.239191017483,0,0,145,0
14585.14065443745,0,0,146,0
15086.645764330102,0,0,147,0
14584.989977525474,0,0,148,0
14084.325141214278,0,0,149,0
14084.325141214278,0,0,150,0
14585.958524716609,0,0,151,0
14585.958524716609,0,0,152,0
14084.273807906611,0,0,153,0
14585.740383502405,0,0,154,0
14084.004296527914,0,0,155,0
14084.004296527914,0,0,156,0
14586.091540575066,0,0,157,0
15087.82280574839,0,0,158,0
14586.091540575066,0,0,159,0
